name,type,start_time,duration,"ack","address","read","data","error"
"I2C","start",5.57221644,0.000000008,,,,,
"I2C","address",5.57224244,0.000347984,true,0x50,false,,
"I2C","data",5.572613424,0.000264992,true,,,0x10,
"I2C","start",5.572897408,0.000000008,,,,,
"I2C","address",5.572923408,0.000348992,true,0x50,true,,
"I2C","data",5.5733044,0.000297984,,,,0xFF,"missing ack/nak"
"I2C","stop",5.573712424,0.000000008,,,,,
"I2C","start",5.573738376,0.000000008,,,,,
"I2C","address",5.573764376,0.000264992,true,0x50,false,,
"I2C","data",5.574052368,0.000348984,true,,,0x11,
"I2C","start",5.574420352,0.000000008,,,,,
"I2C","address",5.574446352,0.000265992,true,0x50,true,,
"I2C","data",5.574827336,0.000223992,,,,0x0C,"missing ack/nak"
"I2C","stop",5.575078368,0.000000008,,,,,
"I2C","start",5.57510432,0.000000008,,,,,
"I2C","address",5.57513032,0.000264992,true,0x50,false,,
"I2C","data",5.575580304,0.000265992,true,,,0x12,
"I2C","start",5.575948288,0.000000008,,,,,
"I2C","address",5.575974288,0.000265992,true,0x50,true,,
"I2C","data",5.57627228,0.000223992,,,,0x10,"missing ack/nak"
"I2C","stop",5.576523312,0.000000008,,,,,
"I2C","start",5.576632264,0.000000008,,,,,
"I2C","address",5.576658264,0.000264992,true,0x50,false,,
"I2C","data",5.576946248,0.000349992,true,,,0x13,
"I2C","start",5.577315232,0.000000008,,,,,
"I2C","address",5.577341232,0.000420984,true,0x50,true,,
"I2C","data",5.577794216,0.000223992,,,,0x19,"missing ack/nak"
"I2C","stop",5.578045248,0.000000008,,,,,
